"","Year","Illnesses","Hospitalizations","Fatalities","status","month","state","location","species","ingredient","serotype.Genotype","food"
"100",1998,3,0,0,2,2,3,1,6,6,9,63
"101",1998,6,0,0,1,2,3,1,7,6,9,64
"102",1998,2,1,0,1,2,3,1,7,6,9,65
"103",1998,4,0,0,1,2,3,4,7,6,9,66
"104",1998,35,1,0.0217167160716587,2,2,3,5,7,6,9,67
"105",1998,18,0,0,2,2,3,1,8,6,9,68
"106",1998,2,0,0,1,2,3,1,7,6,9,62
"107",1998,8,0,0,2,2,3,1,8,6,9,37
"108",1998,3,0,0,1,2,3,8,7,6,9,69
"109",1998,5,0,0,1,2,3,1,7,6,9,37
"110",1998,2,0,0,1,2,3,1,7,6,9,70
"111",1998,4,0,0,2,2,3,1,9,6,9,10
"112",1998,2,0,0,1,2,3,1,7,6,9,10
"113",1998,50,1,0,2,2,3,5,9,6,9,71
"114",1998,2,0.94752807538402,0,1,2,3,1,7,6,9,72
"115",1998,43,0,0,2,2,3,1,9,6,9,71
"116",1998,15,0,0,2,2,3,1,9,6,9,73
"117",1998,4,0,0,1,2,3,1,7,6,9,74
"118",1998,3,2,0,1,2,3,1,7,6,9,75
"119",1998,3,0,0,1,2,3,1,7,6,9,74
"120",1998,33,0,0,1,2,6,1,7,6,9,37
"121",1998,101,0,0,1,2,7,1,8,6,9,76
"122",1998,9,0,0,1,2,7,1,7,6,9,77
"123",1998,8,0,0,1,2,8,1,7,6,9,37
"124",1998,3,0.94752807538402,0.0217167160716587,1,2,8,1,7,6,9,37
"125",1998,6,0.94752807538402,0.0217167160716587,1,2,8,1,7,6,9,15
"126",1998,2,0.94752807538402,0.0217167160716587,1,2,8,1,7,6,9,78
"127",1998,2,0.94752807538402,0.0217167160716587,1,2,8,1,7,6,9,37
"128",1998,17,0,0,1,2,8,1,7,6,9,37
"129",1998,3,0.94752807538402,0.0217167160716587,1,2,10,1,7,6,9,79
"130",1998,5,0.94752807538402,0.0217167160716587,1,2,10,1,7,6,9,80
"131",1998,5,0.94752807538402,0.0217167160716587,1,2,10,1,7,6,9,81
"132",1998,4,0.94752807538402,0.0217167160716587,1,2,10,1,7,6,9,82
"133",1998,8,0.94752807538402,0.0217167160716587,1,2,10,1,7,6,9,83
"134",1998,20,0.94752807538402,0.0217167160716587,1,2,10,5,7,6,9,16
"135",1998,4,0,0,1,2,10,1,7,6,9,42
"136",1998,2,0,0,1,2,10,1,7,6,9,84
"137",1998,13,0,0,1,2,11,9,7,6,9,37
"138",1998,16,0,0,2,2,11,7,16,6,9,29
"139",1998,12,0.94752807538402,0.0217167160716587,1,2,23,1,7,6,9,37
"140",1998,45,0,0,1,2,24,1,6,6,9,85
"141",1998,16,0.94752807538402,0.0217167160716587,1,2,25,5,7,6,9,37
"142",1998,10,6,0,1,2,26,1,13,6,7,37
"143",1998,8,0,0,1,2,13,1,7,6,9,37
"144",1998,23,0.94752807538402,0.0217167160716587,1,2,13,5,7,6,9,86
"145",1998,17,0,0,1,2,13,5,7,6,9,37
"146",1998,17,1,0,1,2,13,5,7,6,9,37
"147",1998,18,0.94752807538402,0.0217167160716587,1,2,13,5,7,6,9,37
"148",1998,9,0,0,1,2,13,1,17,6,9,87
"149",1998,9,0.94752807538402,0.0217167160716587,1,2,14,5,10,6,9,37
"150",1998,9,0.94752807538402,0,1,2,14,1,7,6,9,88
"151",1998,2,1,0,1,2,15,1,7,6,9,89
"152",1998,3,0,0,1,2,15,1,7,6,9,37
"153",1998,4,0.94752807538402,0.0217167160716587,1,2,15,1,7,6,9,37
"154",1998,25,0.94752807538402,0.0217167160716587,1,2,15,5,7,6,9,90
"155",1998,2,0,0,1,2,15,3,7,6,9,91
"156",1998,2,0,0,1,2,15,1,7,6,9,37
"157",1998,3,0,0,1,2,15,1,7,6,9,37
"158",1998,4,0,0,1,2,15,1,7,6,9,37
"159",1998,4,0,0,1,2,15,1,7,6,9,37
"160",1998,3,1,0,1,2,15,1,7,6,9,92
"161",1998,2,0,0,1,2,15,1,7,6,9,37
"162",1998,4,0,0,1,2,16,3,7,3,9,93
"163",1998,29,2,0,2,2,16,10,7,6,9,37
"164",1998,38,0,0,1,2,16,1,7,6,9,94
"165",1998,15,0,0,1,2,16,1,7,6,9,95
"166",1998,20,0,0,1,2,17,1,7,6,9,96
"167",1998,11,0,0,1,2,17,1,7,6,9,97
"168",1998,20,0,0,1,2,17,1,7,6,9,98
"169",1998,6,2,0,1,2,17,1,3,6,8,37
"170",1998,15,0,0,1,2,17,1,7,6,9,37
"171",1998,2,0.94752807538402,0.0217167160716587,1,2,18,1,7,6,9,37
"172",1998,5,0.94752807538402,0.0217167160716587,1,2,18,11,7,6,9,37
"173",1998,22,0.94752807538402,0.0217167160716587,2,2,18,1,8,6,9,99
"174",1998,94,0.94752807538402,1,1,2,18,1,14,6,9,37
"175",1998,4,0,0,1,2,20,1,7,6,9,37
"176",1998,2,0,0,1,2,20,1,7,6,9,37
"177",1998,3,0,0,1,2,20,1,7,6,9,37
"178",1998,3,2,0,1,3,27,1,7,6,9,37
"179",1998,2,0,0,1,3,27,1,7,6,9,37
"180",1998,4,4,0.0217167160716587,1,3,28,4,18,4,9,100
"181",1998,26,0.94752807538402,0.0217167160716587,1,3,1,1,3,6,2,37
"182",1998,5,1,0,1,3,1,1,7,6,9,101
"183",1998,4,0,0,1,3,1,1,3,6,2,102
"184",1998,7,0,0,1,3,1,3,7,6,9,37
"185",1998,6,1,0,1,3,1,3,3,6,2,103
"186",1998,48,0,0,1,3,1,3,6,6,9,104
"187",1998,6,0,0,1,3,1,1,2,6,9,3
"188",1998,23,0.94752807538402,0.0217167160716587,2,3,2,1,5,6,9,37
"189",1998,14,0.94752807538402,0.0217167160716587,2,3,3,12,7,6,9,105
"190",1998,11,0,0,1,3,3,1,7,6,9,106
"191",1998,2,0,0,1,3,3,1,7,6,9,89
"192",1998,2,0,0,2,3,3,1,8,6,9,107
"193",1998,3,0,0,1,3,3,1,7,6,9,108
"194",1998,2,0,0,1,3,3,1,7,6,9,37
"195",1998,2,2,0,1,3,3,1,7,6,9,109
"196",1998,2,0,0,2,3,3,1,3,6,9,110
"197",1998,3,0,0,1,3,3,1,7,6,9,111
"198",1998,2,0.94752807538402,0,1,3,3,1,7,6,9,112
"199",1998,2,0,0,1,3,3,1,7,6,9,113
"200",1998,24,0,0,2,3,3,1,7,6,9,114
"201",1998,2,0,0,1,3,3,1,7,6,9,12
"202",1998,3,1,0,1,3,3,1,7,6,9,108
"203",1998,2,0,0,2,3,3,1,8,6,9,115
"204",1998,4,0,0,1,3,3,1,7,6,9,116
"205",1998,2,0,0,1,3,3,1,7,6,9,115
"206",1998,3,2,0,1,3,3,1,7,6,9,37
"207",1998,2,0.94752807538402,0,1,3,3,1,7,6,9,117
"208",1998,2,0,0,2,3,3,1,9,6,9,118
"209",1998,2,0,0,1,3,3,1,7,6,9,37
"210",1998,4,0,0,2,3,3,1,3,6,2,16
"211",1998,7,0,0,2,3,3,1,7,6,9,82
"212",1998,2,0,0,1,3,3,1,7,6,9,119
"213",1998,3,0,0,2,3,3,1,3,6,9,54
"214",1998,8,0,0,2,3,3,1,7,6,9,82
"215",1998,2,1,0,1,3,3,7,3,6,2,62
"216",1998,3,0,0,2,3,3,1,8,6,9,15
"217",1998,3,0,0,1,3,3,1,7,6,9,37
"218",1998,3,0,0,1,3,3,1,7,6,9,120
"219",1998,2,0,0,2,3,3,1,3,6,9,113
"220",1998,2,0,0,1,3,3,1,7,6,9,121
"221",1998,2,0,0,1,3,3,3,7,6,9,122
"222",1998,18,0,0,2,3,3,3,6,6,9,123
"223",1998,44,0,0,1,3,3,7,7,6,9,37
"224",1998,4,0,0,1,3,3,1,10,6,9,37
"225",1998,4,0,0,1,3,3,1,7,6,9,124
"226",1998,2,0,0,1,3,5,3,12,6,9,125
"227",1998,39,0,0,1,3,5,1,7,6,9,126
"228",1998,2,0,0,1,3,5,1,2,6,9,127
"229",1998,6,0,0,1,3,6,1,7,6,9,37
"230",1998,2,0,0,1,3,6,1,3,6,2,128
"231",1998,103,1,0,1,3,6,1,19,6,9,129
"232",1998,3,0,0,1,3,6,1,7,6,9,37
"233",1998,9,0,0,1,3,6,1,7,6,9,37
"234",1998,11,1,0.0217167160716587,1,3,8,1,7,6,9,130
"235",1998,5,0.94752807538402,0.0217167160716587,1,3,8,13,14,6,9,37
"236",1998,26,0,0,2,3,8,6,7,6,9,131
"237",1998,3,0.94752807538402,0.0217167160716587,1,3,8,1,7,6,9,37
"238",1998,3,0,0,1,3,8,1,7,6,9,132
"239",1998,3,0,0,1,3,8,1,7,6,9,37
"240",1998,3,0,0,1,3,8,1,7,6,9,37
"241",1998,2,0,0,1,3,8,1,7,6,9,16
"242",1998,6,0.94752807538402,0.0217167160716587,1,3,9,1,3,6,4,37
"243",1998,3,0.94752807538402,0.0217167160716587,1,3,10,1,7,6,9,133
"244",1998,2,0.94752807538402,0.0217167160716587,1,3,10,1,7,6,9,134
"245",1998,5,0.94752807538402,0.0217167160716587,1,3,10,1,7,6,9,42
"246",1998,11,0.94752807538402,0.0217167160716587,1,3,10,1,7,6,9,37
"247",1998,2,0,0,1,3,10,1,7,6,9,135
"248",1998,2,1,0,1,3,10,1,7,6,9,136
"249",1998,3,0.94752807538402,0.0217167160716587,1,3,10,1,7,6,9,137
"250",1998,15,0,0,1,3,10,1,7,6,9,138
"251",1998,30,1,0,1,3,11,1,15,6,9,139
"252",1998,7,0,0,1,3,11,1,7,6,9,140
"253",1998,4,0,0,1,3,11,1,7,6,9,37
"254",1998,12,0.94752807538402,0.0217167160716587,1,3,25,5,7,6,9,37
"255",1998,20,3,0,1,3,29,1,8,6,9,141
"256",1998,17,0,0,1,3,13,1,7,6,9,37
"257",1998,5,0.94752807538402,0.0217167160716587,1,3,13,1,7,6,9,16
"258",1998,47,0.94752807538402,0.0217167160716587,1,3,13,1,7,6,9,37
"259",1998,14,0,0,1,3,13,1,7,6,9,6
"260",1998,9,0,0,1,3,13,1,7,6,9,37
"261",1998,9,0.94752807538402,0.0217167160716587,1,3,14,1,3,6,9,37
"262",1998,75,0.94752807538402,0.0217167160716587,1,3,14,14,7,6,9,138
"263",1998,2,0,0,1,3,15,1,7,6,9,17
"264",1998,8,1,0,1,3,15,3,7,6,9,37
"265",1998,3,0,0,1,3,15,1,7,6,9,37
"266",1998,5,0,0,1,3,15,1,7,6,9,37
"267",1998,49,0,0,1,3,15,1,7,6,9,37
"268",1998,7,0.94752807538402,0.0217167160716587,1,3,15,1,3,6,4,37
"269",1998,5,0,0,1,3,15,1,7,6,9,37
"270",1998,7,0.94752807538402,0,1,3,15,1,7,6,9,37
"271",1998,2,0,0,1,3,15,1,7,6,9,37
"272",1998,3,0,0,1,3,15,1,7,6,9,55
"273",1998,4,1,0,1,3,15,1,3,6,10,128
"274",1998,28,1,0,2,3,16,1,7,6,9,37
"275",1998,5,0,0,1,3,16,1,8,6,9,17
"276",1998,16,0,0,1,3,17,1,7,6,9,37
"277",1998,3,0,0,1,3,17,1,7,6,9,37
"278",1998,3,0,0,1,3,17,1,7,6,9,142
"279",1998,25,1,0,1,3,17,5,3,6,11,143
"280",1998,48,0,0,1,3,30,1,7,6,9,37
"281",1998,78,0.94752807538402,0.0217167160716587,2,3,18,1,5,6,9,37
"282",1998,125,60,0,1,3,18,7,19,6,9,144
"283",1998,7,1,0,2,3,31,3,3,6,2,37
"284",1998,23,5,0,1,3,19,1,3,6,2,145
"285",1998,28,0.94752807538402,0.0217167160716587,2,3,19,1,5,6,9,37
"286",1998,8,0.94752807538402,0.0217167160716587,1,3,19,1,7,6,9,146
"287",1998,56,1,0,1,3,19,1,7,6,9,37
"288",1998,2,0,0,1,3,20,1,2,6,9,147
"289",1998,8,0,0,1,3,20,1,14,6,9,37
"290",1998,2,0,0,1,3,20,1,7,6,9,37
"291",1998,2,0,0,1,3,20,1,7,6,9,37
"292",1998,16,0,0,1,3,20,1,7,6,9,37
"293",1998,3,6,0,1,3,20,1,7,6,9,37
"294",1998,8,0.94752807538402,0.0217167160716587,1,3,20,1,7,6,9,37
"295",1998,2,0,0,1,3,20,1,7,6,9,37
"296",1998,65,1,0,1,3,21,1,7,6,9,37
"297",1998,15,0.94752807538402,0.0217167160716587,1,4,1,1,7,6,9,37
"298",1998,72,7,0,1,4,1,1,4,6,9,37
"299",1998,19,0,0,1,4,1,1,7,6,9,37
"300",1998,11,0,0,1,4,1,5,7,6,9,37
"301",1998,39,0,0,1,4,1,1,7,6,9,148
"302",1998,7,0.94752807538402,0,1,4,1,3,3,6,12,37
"303",1998,7,0,0,1,4,1,1,7,6,9,109
"304",1998,11,0,0,1,4,1,1,6,6,9,149
"305",1998,2,0.94752807538402,0,2,4,2,1,9,6,9,112
"306",1998,11,0.94752807538402,0,2,4,2,5,5,6,9,6
"307",1998,12,0.94752807538402,0,2,4,2,5,5,6,9,37
"308",1998,40,0.94752807538402,0.0217167160716587,1,4,3,15,19,6,9,62
"309",1998,2,0.94752807538402,0.0217167160716587,2,4,3,1,3,6,9,110
"310",1998,4,0,0,2,4,3,1,8,6,9,150
"311",1998,2,0,0,1,4,3,1,3,6,2,37
"312",1998,27,0,0,2,4,3,1,7,6,9,151
"313",1998,4,0,0,2,4,3,1,3,6,2,64
"314",1998,2,0,0,1,4,3,1,7,6,9,92
"315",1998,2,0,0,1,4,3,1,7,6,9,64
"316",1998,3,0,0,2,4,3,5,6,6,9,101
"317",1998,4,0,0,2,4,3,1,6,6,9,152
"318",1998,3,1,0,2,4,3,1,5,6,9,153
"319",1998,2,0,0,1,4,3,1,7,6,9,154
"320",1998,3,1,0,2,4,3,1,3,6,9,65
"321",1998,4,0,0,1,4,3,1,7,6,9,155
"322",1998,3,0,0,1,4,3,1,7,6,9,156
"323",1998,5,0,0,2,4,3,1,11,6,9,157
"324",1998,12,2,0,2,4,3,3,7,6,9,158
"325",1998,3,0,0,2,4,3,1,9,6,9,159
"326",1998,3,2,0,1,4,3,1,7,6,9,12
"327",1998,3,0,0,2,4,3,1,8,6,9,160
"328",1998,6,0,0,2,4,3,1,6,6,9,37
"329",1998,2,0,0,2,4,3,1,9,6,9,161
"330",1998,2,0,0,1,4,3,1,7,6,9,17
"331",1998,2,0,0,1,4,3,1,7,6,9,162
"332",1998,2,0,0,1,4,3,1,7,6,9,17
"333",1998,51,0.94752807538402,0.0217167160716587,1,4,32,1,19,6,9,6
"334",1998,19,0,0,1,4,5,1,7,6,9,37
"335",1998,5,0,0,1,4,5,3,12,6,9,163
"336",1998,46,1,0,1,4,6,7,3,6,11,37
"337",1998,18,0.94752807538402,0.0217167160716587,1,4,7,1,6,6,9,24
"338",1998,53,0,0,2,4,33,1,6,6,9,81
"339",1998,30,0,0,1,4,34,5,7,6,9,37
"340",1998,65,0,0,1,4,35,14,6,6,9,164
"341",1998,47,5,0,1,4,35,7,15,6,9,125
"342",1998,15,0.94752807538402,0.0217167160716587,1,4,8,4,7,6,9,165
"343",1998,19,0.94752807538402,0.0217167160716587,1,4,8,1,7,6,9,37
"344",1998,3,0.94752807538402,0.0217167160716587,1,4,8,1,7,6,9,166
"345",1998,5,0.94752807538402,0.0217167160716587,1,4,8,1,7,6,9,167
"346",1998,4,0,0,1,4,8,1,7,6,9,37
"347",1998,3,0.94752807538402,0.0217167160716587,1,4,8,1,7,6,9,42
"348",1998,5,0.94752807538402,0.0217167160716587,1,4,8,1,7,6,9,37
"349",1998,2,0.94752807538402,0.0217167160716587,1,4,8,1,7,6,9,168
"350",1998,32,0.94752807538402,0.0217167160716587,1,4,8,4,7,6,9,169
"351",1998,6,0.94752807538402,0.0217167160716587,1,4,8,1,7,6,9,37
"352",1998,3,0.94752807538402,0.0217167160716587,1,4,8,1,7,6,9,37
