"","Illnesses","Hospitalizations","Fatalities","location","food","species","month","state","ingredient"
"130",5,0.905161734342739,0.0187628865979381,1,80,7,2,10,6
"131",5,0.905161734342739,0.0187628865979381,1,81,7,2,10,6
"132",4,0.905161734342739,0.0187628865979381,1,82,7,2,10,6
"133",8,0.905161734342739,0.0187628865979381,1,83,7,2,10,6
"134",20,0.905161734342739,0.0187628865979381,5,16,7,2,10,6
"135",4,0,0,1,42,7,2,10,6
"136",2,0,0,1,84,7,2,10,6
"137",13,0,0,9,37,7,2,11,6
"138",12,0.905161734342739,0.0187628865979381,1,37,7,2,23,6
"139",45,0,0,1,85,6,2,24,6
"140",16,0.905161734342739,0.0187628865979381,5,37,7,2,25,6
"141",10,6,0,1,37,13,2,26,6
"142",8,0,0,1,37,7,2,13,6
"143",23,0.905161734342739,0.0187628865979381,5,86,7,2,13,6
"144",17,0,0,5,37,7,2,13,6
"145",17,1,0,5,37,7,2,13,6
"146",18,0.905161734342739,0.0187628865979381,5,37,7,2,13,6
"147",9,0,0,1,87,16,2,13,6
"148",9,0.905161734342739,0.0187628865979381,5,37,10,2,14,6
"149",9,0.905161734342739,0,1,88,7,2,14,6
"150",2,1,0,1,89,7,2,15,6
"151",3,0,0,1,37,7,2,15,6
"152",4,0.905161734342739,0.0187628865979381,1,37,7,2,15,6
"153",25,0.905161734342739,0.0187628865979381,5,90,7,2,15,6
"154",2,0,0,3,91,7,2,15,6
"155",2,0,0,1,37,7,2,15,6
"156",3,0,0,1,37,7,2,15,6
"157",4,0,0,1,37,7,2,15,6
"158",4,0,0,1,37,7,2,15,6
"159",3,1,0,1,92,7,2,15,6
"160",2,0,0,1,37,7,2,15,6
"161",4,0,0,3,93,7,2,16,3
"162",29,2,0,10,37,7,2,16,6
"163",38,0,0,1,94,7,2,16,6
"164",15,0,0,1,95,7,2,16,6
"165",20,0,0,1,96,7,2,17,6
"166",11,0,0,1,97,7,2,17,6
"167",20,0,0,1,98,7,2,17,6
"168",6,2,0,1,37,3,2,17,6
"169",15,0,0,1,37,7,2,17,6
"170",2,0.905161734342739,0.0187628865979381,1,37,7,2,18,6
"171",5,0.905161734342739,0.0187628865979381,11,37,7,2,18,6
"172",22,0.905161734342739,0.0187628865979381,1,99,8,2,18,6
"173",94,0.905161734342739,1,1,37,14,2,18,6
"174",4,0,0,1,37,7,2,20,6
"175",2,0,0,1,37,7,2,20,6
"176",3,0,0,1,37,7,2,20,6
"177",3,2,0,1,37,7,3,27,6
"178",2,0,0,1,37,7,3,27,6
"179",4,4,0.0187628865979381,4,100,17,3,28,4
"180",26,0.905161734342739,0.0187628865979381,1,37,3,3,1,6
"181",5,1,0,1,101,7,3,1,6
"182",4,0,0,1,102,3,3,1,6
"183",7,0,0,3,37,7,3,1,6
"184",6,1,0,3,103,3,3,1,6
"185",48,0,0,3,104,6,3,1,6
"186",6,0,0,1,3,2,3,1,6
"187",23,0.905161734342739,0.0187628865979381,1,37,5,3,2,6
"188",14,0.905161734342739,0.0187628865979381,12,105,7,3,3,6
"189",11,0,0,1,106,7,3,3,6
"190",2,0,0,1,89,7,3,3,6
"191",2,0,0,1,107,8,3,3,6
"192",3,0,0,1,108,7,3,3,6
"193",2,0,0,1,37,7,3,3,6
"194",2,2,0,1,109,7,3,3,6
"195",2,0,0,1,110,3,3,3,6
"196",3,0,0,1,111,7,3,3,6
"197",2,0.905161734342739,0,1,112,7,3,3,6
"198",2,0,0,1,113,7,3,3,6
"199",24,0,0,1,114,7,3,3,6
"200",2,0,0,1,12,7,3,3,6
"201",3,1,0,1,108,7,3,3,6
"202",2,0,0,1,115,8,3,3,6
"203",4,0,0,1,116,7,3,3,6
"204",2,0,0,1,115,7,3,3,6
"205",3,2,0,1,37,7,3,3,6
"206",2,0.905161734342739,0,1,117,7,3,3,6
"207",2,0,0,1,118,9,3,3,6
"208",2,0,0,1,37,7,3,3,6
"209",4,0,0,1,16,3,3,3,6
"210",7,0,0,1,82,7,3,3,6
"211",2,0,0,1,119,7,3,3,6
"212",3,0,0,1,54,3,3,3,6
"213",8,0,0,1,82,7,3,3,6
"214",2,1,0,7,62,3,3,3,6
"215",3,0,0,1,15,8,3,3,6
"216",3,0,0,1,37,7,3,3,6
"217",3,0,0,1,120,7,3,3,6
"218",2,0,0,1,113,3,3,3,6
"219",2,0,0,1,121,7,3,3,6
"220",2,0,0,3,122,7,3,3,6
"221",18,0,0,3,123,6,3,3,6
"222",44,0,0,7,37,7,3,3,6
"223",4,0,0,1,37,10,3,3,6
"224",4,0,0,1,124,7,3,3,6
"225",2,0,0,3,125,12,3,5,6
"226",39,0,0,1,126,7,3,5,6
"227",2,0,0,1,127,2,3,5,6
"228",6,0,0,1,37,7,3,6,6
"229",2,0,0,1,128,3,3,6,6
"230",103,1,0,1,129,18,3,6,6
"231",3,0,0,1,37,7,3,6,6
"232",9,0,0,1,37,7,3,6,6
"233",11,1,0.0187628865979381,1,130,7,3,8,6
"234",5,0.905161734342739,0.0187628865979381,13,37,14,3,8,6
"235",26,0,0,6,131,7,3,8,6
"236",3,0.905161734342739,0.0187628865979381,1,37,7,3,8,6
"237",3,0,0,1,132,7,3,8,6
"238",3,0,0,1,37,7,3,8,6
"239",3,0,0,1,37,7,3,8,6
"240",2,0,0,1,16,7,3,8,6
"241",6,0.905161734342739,0.0187628865979381,1,37,3,3,9,6
"242",3,0.905161734342739,0.0187628865979381,1,133,7,3,10,6
"243",2,0.905161734342739,0.0187628865979381,1,134,7,3,10,6
"244",5,0.905161734342739,0.0187628865979381,1,42,7,3,10,6
"245",11,0.905161734342739,0.0187628865979381,1,37,7,3,10,6
"246",2,0,0,1,135,7,3,10,6
"247",2,1,0,1,136,7,3,10,6
"248",3,0.905161734342739,0.0187628865979381,1,137,7,3,10,6
"249",15,0,0,1,138,7,3,10,6
"250",30,1,0,1,139,15,3,11,6
"251",7,0,0,1,140,7,3,11,6
"252",4,0,0,1,37,7,3,11,6
"253",12,0.905161734342739,0.0187628865979381,5,37,7,3,25,6
"254",20,3,0,1,141,8,3,29,6
"255",17,0,0,1,37,7,3,13,6
"256",5,0.905161734342739,0.0187628865979381,1,16,7,3,13,6
"257",47,0.905161734342739,0.0187628865979381,1,37,7,3,13,6
"258",14,0,0,1,6,7,3,13,6
"259",9,0,0,1,37,7,3,13,6
"260",9,0.905161734342739,0.0187628865979381,1,37,3,3,14,6
"261",75,0.905161734342739,0.0187628865979381,14,138,7,3,14,6
"262",2,0,0,1,17,7,3,15,6
"263",8,1,0,3,37,7,3,15,6
"264",3,0,0,1,37,7,3,15,6
"265",5,0,0,1,37,7,3,15,6
"266",49,0,0,1,37,7,3,15,6
"267",7,0.905161734342739,0.0187628865979381,1,37,3,3,15,6
"268",5,0,0,1,37,7,3,15,6
"269",7,0.905161734342739,0,1,37,7,3,15,6
"270",2,0,0,1,37,7,3,15,6
"271",3,0,0,1,55,7,3,15,6
"272",4,1,0,1,128,3,3,15,6
"273",28,1,0,1,37,7,3,16,6
"274",5,0,0,1,17,8,3,16,6
"275",16,0,0,1,37,7,3,17,6
"276",3,0,0,1,37,7,3,17,6
"277",3,0,0,1,142,7,3,17,6
"278",25,1,0,5,143,3,3,17,6
"279",48,0,0,1,37,7,3,30,6
"280",78,0.905161734342739,0.0187628865979381,1,37,5,3,18,6
"281",125,60,0,7,144,18,3,18,6
"282",7,1,0,3,37,3,3,31,6
"283",23,5,0,1,145,3,3,19,6
"284",28,0.905161734342739,0.0187628865979381,1,37,5,3,19,6
"285",8,0.905161734342739,0.0187628865979381,1,146,7,3,19,6
"286",56,1,0,1,37,7,3,19,6
"287",2,0,0,1,147,2,3,20,6
"288",8,0,0,1,37,14,3,20,6
"289",2,0,0,1,37,7,3,20,6
"290",2,0,0,1,37,7,3,20,6
"291",16,0,0,1,37,7,3,20,6
"292",3,6,0,1,37,7,3,20,6
"293",8,0.905161734342739,0.0187628865979381,1,37,7,3,20,6
"294",2,0,0,1,37,7,3,20,6
"295",65,1,0,1,37,7,3,21,6
"296",15,0.905161734342739,0.0187628865979381,1,37,7,4,1,6
"297",72,7,0,1,37,4,4,1,6
"298",19,0,0,1,37,7,4,1,6
"299",11,0,0,5,37,7,4,1,6
"300",39,0,0,1,148,7,4,1,6
"301",7,0.905161734342739,0,3,37,3,4,1,6
"302",7,0,0,1,109,7,4,1,6
"303",11,0,0,1,149,6,4,1,6
"304",2,0.905161734342739,0,1,112,9,4,2,6
"305",11,0.905161734342739,0,5,6,5,4,2,6
"306",12,0.905161734342739,0,5,37,5,4,2,6
"307",40,0.905161734342739,0.0187628865979381,15,62,18,4,3,6
"308",2,0.905161734342739,0.0187628865979381,1,110,3,4,3,6
"309",4,0,0,1,150,8,4,3,6
"310",2,0,0,1,37,3,4,3,6
"311",27,0,0,1,151,7,4,3,6
"312",4,0,0,1,64,3,4,3,6
"313",2,0,0,1,92,7,4,3,6
"314",2,0,0,1,64,7,4,3,6
"315",3,0,0,5,101,6,4,3,6
"316",4,0,0,1,152,6,4,3,6
"317",3,1,0,1,153,5,4,3,6
"318",2,0,0,1,154,7,4,3,6
"319",3,1,0,1,65,3,4,3,6
"320",4,0,0,1,155,7,4,3,6
"321",3,0,0,1,156,7,4,3,6
"322",5,0,0,1,157,11,4,3,6
"323",12,2,0,3,158,7,4,3,6
"324",3,0,0,1,159,9,4,3,6
"325",3,2,0,1,12,7,4,3,6
"326",3,0,0,1,160,8,4,3,6
"327",6,0,0,1,37,6,4,3,6
"328",2,0,0,1,161,9,4,3,6
"329",2,0,0,1,17,7,4,3,6
"330",2,0,0,1,162,7,4,3,6
"331",2,0,0,1,17,7,4,3,6
"332",51,0.905161734342739,0.0187628865979381,1,6,18,4,32,6
"333",19,0,0,1,37,7,4,5,6
"334",5,0,0,3,163,12,4,5,6
"335",46,1,0,7,37,3,4,6,6
"336",18,0.905161734342739,0.0187628865979381,1,24,6,4,7,6
"337",53,0,0,1,81,6,4,33,6
"338",30,0,0,5,37,7,4,34,6
"339",65,0,0,14,164,6,4,35,6
"340",47,5,0,7,125,15,4,35,6
"341",15,0.905161734342739,0.0187628865979381,4,165,7,4,8,6
"342",19,0.905161734342739,0.0187628865979381,1,37,7,4,8,6
"343",3,0.905161734342739,0.0187628865979381,1,166,7,4,8,6
"344",5,0.905161734342739,0.0187628865979381,1,167,7,4,8,6
"345",4,0,0,1,37,7,4,8,6
